date,amount,category,descriptions
2024-01-01,1200.00,Rent,Monthly Rent Payment
2024-01-02,45.50,Food,Grocery shopping
2024-01-03,15.00,Transport,Uber ride
2024-01-05,65.00,Utilities,Internet subscription
2024-01-06,12.99,Entertainment,Netflix Subscription
2024-01-08,8.50,Food,Coffee and pastry
2024-01-10,35.00,Shopping,Office supplies
2024-01-12,120.00,Healthcare,Dental cleaning
2024-01-14,25.00,Transport,Gas refill
2024-01-15,85.00,Food,Dinner at Italian place
2024-01-18,55.00,Shopping,New jeans
2024-01-20,150.00,Utilities,Electric bill
2024-01-22,9.99,Entertainment,Spotify Premium
2024-01-24,12.50,Food,Lunch combo
2024-01-26,40.00,Transport,Monthly Train Pass
2024-01-28,200.00,Healthcare,Pharmacy
2024-01-30,300.00,Shopping,Electronics
2024-02-01,1200.00,Rent,Monthly Rent Payment
2024-02-02,50.00,Food,Supermarket run
2024-02-04,18.00,Entertainment,Movie tickets
2024-02-06,60.00,Transport,Car maintenance
2024-02-08,95.00,Utilities,Water bill
2024-02-10,22.00,Food,Pizza delivery
2024-02-12,45.00,Shopping,Home decor
2024-02-14,75.00,Healthcare,Doctor visit copay
2024-02-16,10.00,Transport,Bus ticket
2024-02-18,35.00,Food,Snacks
2024-02-20,70.00,Utilities,Heating bill
2024-02-22,15.00,Entertainment,Museum entry
2024-02-24,110.00,Shopping,Gift for friend
2024-02-26,30.00,Healthcare,Vitamins
2024-02-28,20.00,Transport,Parking fee
2024-03-01,1200.00,Rent,Monthly Rent Payment
2024-03-02,60.00,Food,Grocery shopping
2024-03-04,14.99,Entertainment,Video game purchase
2024-03-06,80.00,Utilities,Phone plan
2024-03-08,18.50,Food,Lunch combo
2024-03-10,50.00,Shopping,Books
2024-03-12,100.00,Healthcare,Eye exam
2024-03-14,28.00,Transport,Uber ride
2024-03-16,90.00,Food,Dinner at Italian place
2024-03-18,45.00,Utilities,Internet subscription
2024-03-20,25.00,Entertainment,Concert
2024-03-22,15.00,Food,Coffee and pastry
2024-03-24,55.00,Transport,Gas refill
2024-03-26,250.00,Shopping,New jeans
2024-03-28,40.00,Healthcare,Pharmacy
2024-03-30,12.00,Transport,Bus ticket
2024-04-01,1200.00,Rent,Monthly Rent Payment
2008-09-09,189.0,Krish,asdad
2009-09-09,123.0,Krish Desai,q31231
2009-09-09,190,Krish,Desai
